"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.cognizant.controller","src/com/cognizant/controller/ApplyEducationLoanController.java","3","28","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"2","com.cognizant.controller","src/com/cognizant/controller/ApplyEducationLoanController.java","3","29","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"3","com.cognizant.controller","src/com/cognizant/controller/ApplyEducationLoanController.java","3","30","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"4","com.cognizant.controller","src/com/cognizant/controller/ApplyEducationLoanController.java","3","31","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"5","com.cognizant.controller","src/com/cognizant/controller/ApplyEducationLoanController.java","3","31","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"6","com.cognizant.controller","src/com/cognizant/controller/ApplyEducationLoanController.java","3","37","Parameter 'AccName' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"7","com.cognizant.controller","src/com/cognizant/controller/ApplyEducationLoanController.java","3","37","Parameter 'model' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"8","com.cognizant.controller","src/com/cognizant/controller/ApplyEducationLoanController.java","3","46","Parameter 'educationLoan' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"9","com.cognizant.controller","src/com/cognizant/controller/ApplyEducationLoanController.java","3","47","Parameter 'model' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"10","com.cognizant.controller","src/com/cognizant/controller/ApplyEducationLoanController.java","3","47","Parameter 'msg' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"11","com.cognizant.controller","src/com/cognizant/controller/ApplyEducationLoanController.java","3","48","Local variable 'accountNumber' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"12","com.cognizant.controller","src/com/cognizant/controller/ApplyEducationLoanController.java","3","58","Avoid excessively long variable names like constraintViolations","Naming Rules","LongVariable"
"13","com.cognizant.controller","src/com/cognizant/controller/ApplyEducationLoanController.java","3","58","Local variable 'constraintViolations' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"14","com.cognizant.controller","src/com/cognizant/controller/ApplyEducationLoanController.java","3","59","Local variable 'iterator' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"15","com.cognizant.controller","src/com/cognizant/controller/ApplyEducationLoanController.java","3","61","Local variable 'next' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"16","com.cognizant.controller","src/com/cognizant/controller/ApplyEducationLoanController.java","3","71","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"17","com.cognizant.controller","src/com/cognizant/controller/ApplyEducationLoanController.java","3","74","Avoid variables with short names like sb","Naming Rules","ShortVariable"
"18","com.cognizant.controller","src/com/cognizant/controller/ApplyEducationLoanController.java","3","74","Local variable 'sb' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"19","com.cognizant.controller","src/com/cognizant/controller/ApplyEducationLoanController.java","3","81","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"20","com.cognizant.controller","src/com/cognizant/controller/ApplyEducationLoanController.java","3","87","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"21","com.cognizant.controller","src/com/cognizant/controller/ApplyEducationLoanController.java","3","92","Avoid using if...else statements without curly braces","Braces Rules","IfElseStmtsMustUseBraces"
"22","com.cognizant.controller","src/com/cognizant/controller/ApplyHomeLoanController.java","4","9","Avoid duplicate imports such as 'org.apache.log4j.Logger'","Import Statement Rules","DuplicateImports"
"23","com.cognizant.controller","src/com/cognizant/controller/ApplyHomeLoanController.java","3","25","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"24","com.cognizant.controller","src/com/cognizant/controller/ApplyHomeLoanController.java","3","26","Avoid excessively long variable names like applyHomeLoanService","Naming Rules","LongVariable"
"25","com.cognizant.controller","src/com/cognizant/controller/ApplyHomeLoanController.java","3","26","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"26","com.cognizant.controller","src/com/cognizant/controller/ApplyHomeLoanController.java","3","27","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"27","com.cognizant.controller","src/com/cognizant/controller/ApplyHomeLoanController.java","3","27","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"28","com.cognizant.controller","src/com/cognizant/controller/ApplyHomeLoanController.java","3","31","Parameter 'AccName' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"29","com.cognizant.controller","src/com/cognizant/controller/ApplyHomeLoanController.java","3","31","Parameter 'model' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
